Retrained at 2026-03-28T17:48:37.114537+00:00
Features: ['RSI_14', 'MACD', 'BB_pct', 'BB_width', 'vol_ratio', 'dist_SMA50', 'mom_5d', 'mom_20d', 'overnight_gap', 'vol_price_div', 'mean_rev_z', 'vol_regime', 'rsi_divergence', 'body_ratio', 'ret_skew']

ok     AAPL: 704 rows, classes=['BUY', 'HOLD', 'SELL']
ok     ABB.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
ok     ABCAPITAL.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
ok     ABNB: 704 rows, classes=['BUY', 'HOLD', 'SELL']
ok     ADA-USD: 1048 rows, classes=['BUY', 'HOLD', 'SELL']
ok     ADANIENT.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
ok     ADANIGREEN.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
ok     ADANIPORTS.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
ok     AMD: 704 rows, classes=['BUY', 'HOLD', 'SELL']
ok     AMZN: 704 rows, classes=['BUY', 'HOLD', 'SELL']
ok     APOLLOHOSP.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
ok     APT-USD: 654 rows, classes=['BUY', 'HOLD', 'SELL']
ok     ARB-USD: 593 rows, classes=['BUY', 'HOLD', 'SELL']
ok     ARKK: 704 rows, classes=['BUY', 'HOLD', 'SELL']
ok     ASHOKLEY.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
ok     ASIANPAINT.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
ok     ASML: 704 rows, classes=['BUY', 'HOLD', 'SELL']
ok     ATOM-USD: 1048 rows, classes=['BUY', 'HOLD', 'SELL']
ok     AUDUSD=X: 730 rows, classes=['BUY', 'HOLD', 'SELL']
ok     AUROPHARMA.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
ok     AVAX-USD: 1048 rows, classes=['BUY', 'HOLD', 'SELL']
ok     AXISBANK.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
ok     BABA: 704 rows, classes=['BUY', 'HOLD', 'SELL']
ok     BAC: 704 rows, classes=['BUY', 'HOLD', 'SELL']
ok     BAJAJ-AUTO.NS: 689 rows, classes=['BUY', 'HOLD', 'SELL']
ok     BAJAJFINSV.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
ok     BAJFINANCE.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
ok     BALKRISIND.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
ok     BANKBARODA.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
ok     BERGEPAINT.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
ok     BHEL.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
ok     BIOCON.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
ok     BNB-USD: 131 rows, classes=['BUY', 'HOLD', 'SELL']
